STT,Đối tượng,Phạm vi,Nội dung,Điều khoản,Liên kết khái niệm,Cơ quan Thẩm quyền Cấp/Giải quyết,Lộ trình/Thời điểm Áp dụng,Hậu quả Pháp lý/Hành chính,Keyphrase
55,"Tổ chức, cá nhân sản xuất, kinh doanh, dịch vụ",Nghĩa vụ,Có nhân sự phụ trách về bảo vệ môi trường được đào tạo chuyên ngành môi trường hoặc lĩnh vực chuyên môn phù hợp; phải có hệ thống quản lý môi trường theo tiêu chuẩn quốc gia TCVN ISO 14001 hoặc tiêu chuẩn quốc tế ISO 14001 được chứng nhận.,"Điều 53, Khoản 1e",Hoạt động bảo vệ môi trường ,Chủ cơ sở,Liên tục trong quá trình hoạt động,N/A,"Nhân sự phụ trách BVMT, Tiêu chuẩn ISO 14001"
56,"Chủ dự án đầu tư, Cơ sở, Khu sản xuất, kinh doanh, dịch vụ tập trung, Cụm công nghiệp (Implicitly linked via Art 39)",Nghĩa vụ,"Phải có Giấy phép môi trường khi đi vào vận hành chính thức nếu phát sinh nước thải, bụi, khí thải phải được xử lý hoặc phát sinh Chất thải nguy hại phải được quản lý.","Điều 39, Khoản 1","Giấy phép môi trường, Chất thải nguy hại, Chất thải ","Cơ quan có thẩm quyền cấp phép,",Khi đi vào vận hành chính thức,Bị cấm thực hiện dự án hoặc xả thải,GPMT khi vận hành chính thức
57,"Chủ dự án đầu tư, cơ sở",Quyền lợi,"Không phải bồi thường Thiệt hại do ô nhiễm, suy thoái môi trường nếu tuân thủ đầy đủ pháp luật BVMT, có hệ thống xử lý chất thải đạt yêu cầu và chứng minh được không gây thiệt hại.","Điều 130, Khoản 4","Thiệt hại do ô nhiễm, suy thoái môi trường, Ô nhiễm môi trường ",Cơ quan giải quyết bồi thường (Tòa án/Trọng tài),Áp dụng khi xảy ra tranh chấp,N/A,Miễn bồi thường khi tuân thủ BVMT
58,"Tổ chức, cá nhân gây Ô nhiễm môi trường, Sự cố môi trường (Khi giải quyết tại Tòa án)",Trách nhiệm,Có trách nhiệm chứng minh mối quan hệ nhân quả giữa hành vi vi phạm pháp luật về Môi trường và thiệt hại xảy ra.,"Điều 133, Khoản 2","Môi trường, Ô nhiễm môi trường, Sự cố môi trường ",Tòa án,Trong quá trình giải quyết tranh chấp,N/A,Gánh nặng chứng minh nhân quả
59,"Tổ chức, cá nhân",Nghĩa vụ,"Phải thu gom, tái chế, tái sử dụng hoặc tiêu hủy các chất làm suy giảm Tầng ô-dôn và Khí nhà kính được kiểm soát trong thiết bị có các chất này khi không còn sử dụng.","Điều 92, Khoản 2b, 6","Tầng ô-dôn, Khí nhà kính, Ứng phó với biến đổi khí hậu ", Bộ Tài nguyên và Môi trường,Khi thiết bị không còn sử dụng,N/A,Xử lý chất làm suy giảm Tầng ô-dôn
60,"Tổ chức, cá nhân",Nghĩa vụ,"Phải quản lý, chia sẻ, công bố thông tin về Chất ô nhiễm có tác động trực tiếp đến sức khỏe con người (trừ bí mật nhà nước, bí mật doanh nghiệp).","Điều 62, Khoản 3c; Điều 194, Khoản 5","Chất ô nhiễm, Thông tin về môi trường ","Bộ Y tế, Bộ Tài nguyên và Môi trường",Liên tục,N/A,Quản lý Thông tin Chất ô nhiễm
61,"Chủ nguồn thải chất thải nguy hại, Cơ sở thực hiện dịch vụ xử lý chất thải nguy hại","Quyền (Được phép vận chuyển chất thải nguy hại)","- Chủ nguồn thải chất thải nguy hại có phương tiện, thiết bị phù hợp đáp ứng yêu cầu kỹ thuật, quy trình quản lý theo quy định của pháp luật về bảo vệ môi trường; - Cơ sở được cấp giấy phép môi trường có chức năng xử lý chất thải nguy hại phù hợp với loại chất thải cần vận chuyển.","Điều 83, Khoản 4, Luật Bảo vệ môi trường 2020","Chất thải nguy hại, Giấy phép môi trường, Chủ nguồn thải","Cơ quan cấp Giấy phép môi trường (Bộ TN&MT/UBND cấp tỉnh)",Thường xuyên khi có phát sinh hoạt động vận chuyển,"Bị xử phạt vi phạm hành chính hoặc truy cứu trách nhiệm hình sự nếu vận chuyển trái phép","Vận chuyển chất thải nguy hại, Phương tiện vận chuyển"
62,"Cơ quan, tổ chức, cộng đồng dân cư, cá nhân",Bảo vệ di sản,"Có trách nhiệm bảo vệ di sản thiên nhiên. Tổ chức, cá nhân tham gia quản lý, bảo vệ được hưởng quyền lợi từ chi trả dịch vụ hệ sinh thái.","Điều 21, Khoản 3, 4",Di sản thiên nhiên (Điều 20),Chính phủ (quy định chi tiết),Thường xuyên,N/A,"Bảo vệ di sản thiên nhiên, Chi trả dịch vụ hệ sinh thái"
63,"Cơ quan được giao nhiệm vụ xây dựng chiến lược, quy hoạch",Đánh giá môi trường chiến lược (ĐMC),"Có trách nhiệm thực hiện đánh giá môi trường chiến lược đồng thời với quá trình xây dựng chiến lược, quy hoạch.","Điều 26, Khoản 1",Đánh giá môi trường chiến lược (Điều 25),Cơ quan phê duyệt chiến lược/quy hoạch,Trong quá trình xây dựng chiến lược/quy hoạch,Không được phê duyệt chiến lược/quy hoạch nếu thiếu ĐMC,Thực hiện ĐMC
64,"Chủ dự án đầu tư nhóm I, nhóm II",Đánh giá tác động môi trường (ĐTM),Đối tượng phải thực hiện Đánh giá tác động môi trường (trừ dự án khẩn cấp công).,"Điều 30, Khoản 1",Đánh giá tác động môi trường (ĐTM),Cơ quan thẩm định ĐTM,Trước khi phê duyệt dự án,Đình chỉ dự án nếu không có ĐTM,Đối tượng ĐTM
65,Chủ dự án đầu tư,Thực hiện ĐTM,Tự thực hiện hoặc thuê tổ chức tư vấn có đủ điều kiện để thực hiện đánh giá tác động môi trường.,"Điều 31, Khoản 1",Đánh giá tác động môi trường (ĐTM),Chủ dự án,Trong giai đoạn chuẩn bị dự án,Chịu trách nhiệm trước pháp luật về kết quả,"Tự thực hiện ĐTM, Thuê tư vấn ĐTM"
66,Chủ dự án đầu tư,Tham vấn ĐTM,"Phải thực hiện tham vấn cộng đồng dân cư, cơ quan, tổ chức liên quan; chịu trách nhiệm về kết quả tham vấn.","Điều 33, Khoản 1, 5",Tham vấn trong đánh giá tác động môi trường,"Cộng đồng dân cư, UBND cấp xã",Trong quá trình lập ĐTM,Báo cáo ĐTM không hợp lệ nếu thiếu tham vấn,"Tham vấn cộng đồng, Chịu trách nhiệm tham vấn"
67,Chủ dự án đầu tư,Trách nhiệm sau phê duyệt ĐTM,Điều chỉnh nội dung dự án phù hợp với ĐTM; thực hiện đầy đủ nội dung quyết định phê duyệt; thông báo hoàn thành công trình bảo vệ môi trường.,Điều 37,Quyết định phê duyệt kết quả thẩm định ĐTM (Điều 36),Cơ quan phê duyệt ĐTM,"Sau khi phê duyệt ĐTM, trước vận hành","Xử phạt vi phạm, Thu hồi quyết định","Thực hiện nội dung phê duyệt, Thông báo hoàn thành"
68,"Dự án nhóm I, II, III (có phát sinh thải)",Giấy phép môi trường,"Phải có Giấy phép môi trường nếu phát sinh nước thải, bụi, khí thải cần xử lý hoặc chất thải nguy hại cần quản lý.",Điều 39,Giấy phép môi trường,Cơ quan cấp giấy phép môi trường,Khi đi vào vận hành chính thức (hoặc thử nghiệm),"Đình chỉ hoạt động, Phạt tiền",Đối tượng giấy phép môi trường
69,"Chủ dự án đầu tư, cơ sở",Phí thẩm định,"Có trách nhiệm nộp phí thẩm định cấp, cấp lại, điều chỉnh giấy phép môi trường.","Điều 45, Khoản 1",Giấy phép môi trường,Cơ quan thu phí,Khi nộp hồ sơ,Hồ sơ không được thụ lý,Nộp phí thẩm định
70,Chủ dự án đầu tư,Vận hành thử nghiệm,Thực hiện vận hành thử nghiệm công trình xử lý chất thải đồng thời với toàn bộ dự án hoặc từng phân kỳ; tuân thủ yêu cầu môi trường.,"Điều 46, Khoản 2, 3",Công trình bảo vệ môi trường,Cơ quan chuyên môn bảo vệ môi trường,"Sau khi được cấp giấy phép, trước vận hành chính thức",Xử phạt nếu không vận hành thử nghiệm,Vận hành thử nghiệm công trình
71,Chủ dự án đầu tư (Xử lý chất thải nguy hại/Nhập phế liệu),Báo cáo thử nghiệm,Gửi báo cáo kết quả vận hành thử nghiệm đến cơ quan cấp phép trước khi kết thúc thử nghiệm 45 ngày.,"Điều 46, Khoản 4","Chất thải nguy hại, Nhập khẩu phế liệu",Cơ quan cấp giấy phép môi trường,Trước khi kết thúc thử nghiệm 45 ngày,Không được vận hành chính thức xử lý chất thải nguy hại,Báo cáo vận hành thử nghiệm
72,Ban quản lý khu kinh tế,Hạ tầng khu kinh tế,"Phải có bộ phận chuyên môn về bảo vệ môi trường; tổ chức kiểm tra, giám sát hạ tầng bảo vệ môi trường khu chức năng.","Điều 50, Khoản 2, 3",Khu kinh tế (Điều 50),UBND cấp tỉnh,Trong suốt quá trình hoạt động,Chịu trách nhiệm trước pháp luật,"Bộ phận chuyên môn môi trường, Giám sát hạ tầng"
73,"Ban quản lý khu công nghiệp, khu chế xuất, khu công nghệ cao",Nhân sự môi trường,"Phải có bộ phận chuyên môn, nhân sự phụ trách bảo vệ môi trường được đào tạo phù hợp.","Điều 51, Khoản 3","Khu sản xuất, kinh doanh, dịch vụ tập trung",UBND cấp tỉnh,Trong suốt quá trình hoạt động,Xử phạt hành chính,Nhân sự phụ trách môi trường
74,"Cơ quan, tổ chức, hộ gia đình, cá nhân",Nghĩa vụ,"Thực hiện quy định về bảo vệ môi trường và giữ gìn vệ sinh nơi công cộng; phân loại, chuyển rác thải đúng nơi quy định.","Điều 59, Khoản 1",Bảo vệ môi trường nơi công cộng,Ủy ban nhân dân các cấp,Thường xuyên,Xử phạt vi phạm hành chính,Giữ gìn vệ sinh công cộng
75,"Tổ chức, cá nhân sản xuất, nhập khẩu, kinh doanh hóa chất",Nghĩa vụ,"Thực hiện quy định của pháp luật về bảo vệ môi trường; đăng ký, kiểm kê, kiểm soát hóa chất độc hại.","Điều 61, Khoản 1, 2",Bảo vệ môi trường nông nghiệp,Cơ quan quản lý chuyên ngành,Trong quá trình hoạt động,Xử lý vi phạm,Kiểm soát hóa chất nông nghiệp
76,"Tổ chức, cá nhân hoạt động dịch vụ mai táng, hỏa táng",Nghĩa vụ,Chấp hành quy định về bảo vệ môi trường; phòng chống dịch bệnh; khuyến khích hỏa táng hợp vệ sinh.,"Điều 63, Khoản 3, 4",Bảo vệ môi trường trong mai táng,Ủy ban nhân dân các cấp,Thường xuyên,Xử lý vi phạm,Mai táng hợp vệ sinh
77,"Tổ chức, cá nhân tham gia giao thông vận tải",Nghĩa vụ,Phương tiện phải đạt quy chuẩn kỹ thuật môi trường; che chắn không để rơi vãi vật liệu; vận chuyển hàng nguy hiểm phải có giấy phép.,"Điều 65, Khoản 1, 2, 3",Bảo vệ môi trường giao thông,Cơ quan đăng kiểm / CSGT,Khi tham gia giao thông,Xử phạt giao thông,"Phương tiện đạt chuẩn, Che chắn"
78,"Cơ sở nghiên cứu, đào tạo, phòng thí nghiệm",Nghĩa vụ,"Thu gom, xử lý nước thải, khí thải, chất thải rắn; xử lý mẫu vật phẩm phân tích theo quy chuẩn.","Điều 68, Khoản 1",Quản lý chất thải phòng thí nghiệm,Cơ quan quản lý môi trường,Thường xuyên,Xử lý vi phạm,Xử lý chất thải thí nghiệm
79,"Tổ chức, cá nhân",Nghĩa vụ,"Hạn chế sử dụng, giảm thiểu, phân loại, thải bỏ chất thải là sản phẩm nhựa sử dụng một lần và bao bì nhựa khó phân hủy.","Điều 73, Khoản 1",Chất thải nhựa,Ủy ban nhân dân các cấp,Thường xuyên,Xử phạt vi phạm,Giảm thiểu rác thải nhựa
80,"Tổ chức, cá nhân gây tiếng ồn, độ rung, ánh sáng, bức xạ",Nghĩa vụ,"Kiểm soát, xử lý bảo đảm quy chuẩn kỹ thuật môi trường; thực hiện biện pháp giảm thiểu tác động xấu.","Điều 89, Khoản 1, 2","Tiếng ồn, độ rung, ánh sáng, bức xạ",Cơ quan quản lý môi trường,Thường xuyên,Xử phạt vi phạm,"Kiểm soát tiếng ồn, độ rung"
81,"Chủ dự án đầu tư, cơ sở",Nghĩa vụ,Nghiên cứu áp dụng kỹ thuật hiện có tốt nhất; cung cấp thông tin phục vụ xây dựng hướng dẫn kỹ thuật.,"Điều 105, Khoản 1",Áp dụng kỹ thuật tốt nhất (BAT),Cơ quan cấp phép,Theo lộ trình,Không được cấp phép,Kỹ thuật hiện có tốt nhất
82,"Chủ dự án đầu tư, khu sản xuất, kinh doanh",Nghĩa vụ,"Thực hiện quan trắc nước thải tự động, liên tục hoặc định kỳ theo quy định; chuyển dữ liệu về cơ quan chuyên môn.","Điều 111, Khoản 1, 2, 3",Quan trắc nước thải,Sở Tài nguyên và Môi trường,Thường xuyên / Định kỳ,Xử phạt vi phạm,Quan trắc tự động
83,"Dự án đầu tư, cơ sở có nguy cơ ô nhiễm không khí",Nghĩa vụ,"Quan trắc bụi, khí thải công nghiệp tự động, liên tục; kết nối dữ liệu trực tiếp đến cơ quan chuyên môn.","Điều 112, Khoản 1, 3",Quan trắc khí thải,Sở Tài nguyên và Môi trường,Thường xuyên,Xử phạt vi phạm,Quan trắc khí thải tự động
84,"Chủ dự án đầu tư, cơ sở",Nghĩa vụ,"Cung cấp, công khai thông tin về môi trường cho cơ quan quản lý và cộng đồng; chịu trách nhiệm về tính chính xác.","Điều 114, Khoản 3",Công khai thông tin môi trường,"Cơ quan quản lý, Cộng đồng",Khi có yêu cầu / Định kỳ,Xử lý vi phạm,Minh bạch thông tin
